x,y,simtime,communication_radius,"max_vehicle_communication",id
323.63,227.57,3.604,100.0,15.0,12
977.75,829.69,3.604,100.0,15.0,52
1425.56,1082.94,3.604,100.0,15.0,78
768.63,816.34,3.604,100.0,15.0,53
1470.88,1073.94,3.604,100.0,15.0,44
778.0,613.44,3.604,100.0,15.0,82
1573.69,569.0,3.604,100.0,15.0,27
1504.51,825.41,3.604,100.0,15.0,1c
798.63,778.69,3.604,100.0,15.0,15
1489.07,825.69,3.604,100.0,15.0,3
1579.38,473.19,3.604,100.0,15.0,34
874.28,625.54,3.604,100.0,15.0,63
1485.04,841.29,3.604,100.0,15.0,1b
1498.87,847.16,3.604,100.0,15.0,1
1457.38,1043.5,3.604,100.0,15.0,204c
583.69,854.5,3.816,100.0,15.0,9
323.63,227.57,3.816,100.0,15.0,12
977.75,829.69,3.816,100.0,15.0,52
1425.56,1082.94,3.816,100.0,15.0,78
768.63,816.34,3.816,100.0,15.0,53
1470.88,1073.94,3.816,100.0,15.0,44
778.0,613.44,3.816,100.0,15.0,82
1573.69,569.0,3.816,100.0,15.0,27
1504.51,825.41,3.816,100.0,15.0,1c
798.63,778.69,3.816,100.0,15.0,15
1489.07,825.69,3.816,100.0,15.0,3
1579.38,473.19,3.816,100.0,15.0,34
874.28,625.54,3.816,100.0,15.0,63
1485.04,841.29,3.816,100.0,15.0,1b
1498.87,847.16,3.816,100.0,15.0,1
1457.38,1043.5,3.816,100.0,15.0,204c
583.69,854.5,4.028,100.0,15.0,9
323.63,227.57,4.028,100.0,15.0,12
977.75,829.69,4.028,100.0,15.0,52
1425.56,1082.94,4.028,100.0,15.0,78
768.63,816.34,4.028,100.0,15.0,53
1470.88,1073.94,4.028,100.0,15.0,44
778.0,613.44,4.028,100.0,15.0,82
1573.69,569.0,4.028,100.0,15.0,27
1504.51,825.41,4.028,100.0,15.0,1c
798.63,778.69,4.028,100.0,15.0,15
1489.07,825.69,4.028,100.0,15.0,3
1579.38,473.19,4.028,100.0,15.0,34
874.28,625.54,4.028,100.0,15.0,63
1485.04,841.29,4.028,100.0,15.0,1b
1498.87,847.16,4.028,100.0,15.0,1
1457.38,1043.5,4.028,100.0,15.0,204c
583.69,854.5,4.24,100.0,15.0,9
323.63,227.57,4.24,100.0,15.0,12
977.75,829.69,4.24,100.0,15.0,52
1425.56,1082.94,4.24,100.0,15.0,78
768.63,816.34,4.24,100.0,15.0,53
1470.88,1073.94,4.24,100.0,15.0,44
778.0,613.44,4.24,100.0,15.0,82
1573.69,569.0,4.24,100.0,15.0,27
1504.51,825.41,4.24,100.0,15.0,1c
798.63,778.69,4.24,100.0,15.0,15
1489.07,825.69,4.24,100.0,15.0,3
1579.38,473.19,4.24,100.0,15.0,34
874.28,625.54,4.24,100.0,15.0,63
1485.04,841.29,4.24,100.0,15.0,1b
1498.87,847.16,4.24,100.0,15.0,1
1457.38,1043.5,4.24,100.0,15.0,204c
583.69,854.5,4.452,100.0,15.0,9
323.63,227.57,4.452,100.0,15.0,12
977.75,829.69,4.452,100.0,15.0,52
1425.56,1082.94,4.452,100.0,15.0,78
768.63,816.34,4.452,100.0,15.0,53
1470.88,1073.94,4.452,100.0,15.0,44
778.0,613.44,4.452,100.0,15.0,82
1573.69,569.0,4.452,100.0,15.0,27
1504.51,825.41,4.452,100.0,15.0,1c
798.63,778.69,4.452,100.0,15.0,15
1489.07,825.69,4.452,100.0,15.0,3
1579.38,473.19,4.452,100.0,15.0,34
874.28,625.54,4.452,100.0,15.0,63
1485.04,841.29,4.452,100.0,15.0,1b
1498.87,847.16,4.452,100.0,15.0,1
1457.38,1043.5,4.452,100.0,15.0,204c
583.69,854.5,4.664,100.0,15.0,9
323.63,227.57,4.664,100.0,15.0,12
977.75,829.69,4.664,100.0,15.0,52
1425.56,1082.94,4.664,100.0,15.0,78
768.63,816.34,4.664,100.0,15.0,53
1470.88,1073.94,4.664,100.0,15.0,44
778.0,613.44,4.664,100.0,15.0,82
1573.69,569.0,4.664,100.0,15.0,27
1504.51,825.41,4.664,100.0,15.0,1c
798.63,778.69,4.664,100.0,15.0,15
1489.07,825.69,4.664,100.0,15.0,3
1579.38,473.19,4.664,100.0,15.0,34
874.28,625.54,4.664,100.0,15.0,63
1485.04,841.29,4.664,100.0,15.0,1b
1498.87,847.16,4.664,100.0,15.0,1
1457.38,1043.5,4.664,100.0,15.0,204c
583.69,854.5,4.876,100.0,15.0,9
323.63,227.57,4.876,100.0,15.0,12
977.75,829.69,4.876,100.0,15.0,52
1425.56,1082.94,4.876,100.0,15.0,78
768.63,816.34,4.876,100.0,15.0,53
1470.88,1073.94,4.876,100.0,15.0,44
778.0,613.44,4.876,100.0,15.0,82
1573.69,569.0,4.876,100.0,15.0,27
1504.51,825.41,4.876,100.0,15.0,1c
798.63,778.69,4.876,100.0,15.0,15
1489.07,825.69,4.876,100.0,15.0,3
1579.38,473.19,4.876,100.0,15.0,34
874.28,625.54,4.876,100.0,15.0,63
1485.04,841.29,4.876,100.0,15.0,1b
1498.87,847.16,4.876,100.0,15.0,1
1457.38,1043.5,4.876,100.0,15.0,204c
583.69,854.5,5.088,100.0,15.0,9
323.63,227.57,5.088,100.0,15.0,12
977.75,829.69,5.088,100.0,15.0,52
1425.56,1082.94,5.088,100.0,15.0,78
768.63,816.34,5.088,100.0,15.0,53
1470.88,1073.94,5.088,100.0,15.0,44
778.0,613.44,5.088,100.0,15.0,82
1573.69,569.0,5.088,100.0,15.0,27
1504.51,825.41,5.088,100.0,15.0,1c
798.63,778.69,5.088,100.0,15.0,15
1489.07,825.69,5.088,100.0,15.0,3
1579.38,473.19,5.088,100.0,15.0,34
874.28,625.54,5.088,100.0,15.0,63
1485.04,841.29,5.088,100.0,15.0,1b
1498.87,847.16,5.088,100.0,15.0,1
1457.38,1043.5,5.088,100.0,15.0,204c
583.69,854.5,5.3,100.0,15.0,9
323.63,227.57,5.3,100.0,15.0,12
977.75,829.69,5.3,100.0,15.0,52
1425.56,1082.94,5.3,100.0,15.0,78
768.63,816.34,5.3,100.0,15.0,53
1470.88,1073.94,5.3,100.0,15.0,44
778.0,613.44,5.3,100.0,15.0,82
1573.69,569.0,5.3,100.0,15.0,27
1504.51,825.41,5.3,100.0,15.0,1c
798.63,778.69,5.3,100.0,15.0,15
1489.07,825.69,5.3,100.0,15.0,3
1579.38,473.19,5.3,100.0,15.0,34
874.28,625.54,5.3,100.0,15.0,63
1485.04,841.29,5.3,100.0,15.0,1b
1498.87,847.16,5.3,100.0,15.0,1
1457.38,1043.5,5.3,100.0,15.0,204c
583.69,854.5,5.512,100.0,15.0,9
323.63,227.57,5.512,100.0,15.0,12
977.75,829.69,5.512,100.0,15.0,52
1425.56,1082.94,5.512,100.0,15.0,78
768.63,816.34,5.512,100.0,15.0,53
1470.88,1073.94,5.512,100.0,15.0,44
778.0,613.44,5.512,100.0,15.0,82
1573.69,569.0,5.512,100.0,15.0,27
1504.51,825.41,5.512,100.0,15.0,1c
798.63,778.69,5.512,100.0,15.0,15
1489.07,825.69,5.512,100.0,15.0,3
1579.38,473.19,5.512,100.0,15.0,34
874.28,625.54,5.512,100.0,15.0,63
1485.04,841.29,5.512,100.0,15.0,1b
1498.87,847.16,5.512,100.0,15.0,1
1457.38,1043.5,5.512,100.0,15.0,204c
583.69,854.5,5.724,100.0,15.0,9
323.63,227.57,5.724,100.0,15.0,12
977.75,829.69,5.724,100.0,15.0,52
1425.56,1082.94,5.724,100.0,15.0,78
768.63,816.34,5.724,100.0,15.0,53
1470.88,1073.94,5.724,100.0,15.0,44
778.0,613.44,5.724,100.0,15.0,82
1573.69,569.0,5.724,100.0,15.0,27
1504.51,825.41,5.724,100.0,15.0,1c
798.63,778.69,5.724,100.0,15.0,15
1489.07,825.69,5.724,100.0,15.0,3
1579.38,473.19,5.724,100.0,15.0,34
874.28,625.54,5.724,100.0,15.0,63
1485.04,841.29,5.724,100.0,15.0,1b
1498.87,847.16,5.724,100.0,15.0,1
1457.38,1043.5,5.724,100.0,15.0,204c
583.69,854.5,5.936,100.0,15.0,9
323.63,227.57,5.936,100.0,15.0,12
977.75,829.69,5.936,100.0,15.0,52
1425.56,1082.94,5.936,100.0,15.0,78
768.63,816.34,5.936,100.0,15.0,53
1470.88,1073.94,5.936,100.0,15.0,44
778.0,613.44,5.936,100.0,15.0,82
1573.69,569.0,5.936,100.0,15.0,27
1504.51,825.41,5.936,100.0,15.0,1c
798.63,778.69,5.936,100.0,15.0,15
1489.07,825.69,5.936,100.0,15.0,3
1579.38,473.19,5.936,100.0,15.0,34
874.28,625.54,5.936,100.0,15.0,63
1485.04,841.29,5.936,100.0,15.0,1b
1498.87,847.16,5.936,100.0,15.0,1
1457.38,1043.5,5.936,100.0,15.0,204c
583.69,854.5,6.148,100.0,15.0,9
323.63,227.57,6.148,100.0,15.0,12
977.75,829.69,6.148,100.0,15.0,52
1425.56,1082.94,6.148,100.0,15.0,78
768.63,816.34,6.148,100.0,15.0,53
1470.88,1073.94,6.148,100.0,15.0,44
778.0,613.44,6.148,100.0,15.0,82
1573.69,569.0,6.148,100.0,15.0,27
1504.51,825.41,6.148,100.0,15.0,1c
798.63,778.69,6.148,100.0,15.0,15
1489.07,825.69,6.148,100.0,15.0,3
1579.38,473.19,6.148,100.0,15.0,34
874.28,625.54,6.148,100.0,15.0,63
1485.04,841.29,6.148,100.0,15.0,1b
1498.87,847.16,6.148,100.0,15.0,1
1457.38,1043.5,6.148,100.0,15.0,204c
583.69,854.5,6.36,100.0,15.0,9
323.63,227.57,6.36,100.0,15.0,12
977.75,829.69,6.36,100.0,15.0,52
1425.56,1082.94,6.36,100.0,15.0,78
768.63,816.34,6.36,100.0,15.0,53
1470.88,1073.94,6.36,100.0,15.0,44
778.0,613.44,6.36,100.0,15.0,82
1573.69,569.0,6.36,100.0,15.0,27
1504.51,825.41,6.36,100.0,15.0,1c
798.63,778.69,6.36,100.0,15.0,15
1489.07,825.69,6.36,100.0,15.0,3
1579.38,473.19,6.36,100.0,15.0,34
874.28,625.54,6.36,100.0,15.0,63
1485.04,841.29,6.36,100.0,15.0,1b
1498.87,847.16,6.36,100.0,15.0,1
1457.38,1043.5,6.36,100.0,15.0,204c
583.69,854.5,6.572,100.0,15.0,9
323.63,227.57,6.572,100.0,15.0,12
977.75,829.69,6.572,100.0,15.0,52
1425.56,1082.94,6.572,100.0,15.0,78
768.63,816.34,6.572,100.0,15.0,53
1470.88,1073.94,6.572,100.0,15.0,44
778.0,613.44,6.572,100.0,15.0,82
1573.69,569.0,6.572,100.0,15.0,27
1504.51,825.41,6.572,100.0,15.0,1c
798.63,778.69,6.572,100.0,15.0,15
1489.07,825.69,6.572,100.0,15.0,3
1579.38,473.19,6.572,100.0,15.0,34
874.28,625.54,6.572,100.0,15.0,63
1485.04,841.29,6.572,100.0,15.0,1b
