actualIoTDeviceName,consumption,flowId,noPackets,time
id_1,7.120000000000061,30,7.0,34.98
id_1,8.150000000000077,38,8.0,35.192
id_1,9.170000000000087,45,9.0,35.404
id_1,10.180000000000092,52,10.0,35.616
id_1,11.210000000000107,59,11.0,35.828
id_1,12.220000000000113,66,12.0,36.04
id_1,13.250000000000128,73,13.0,36.252
id_1,14.260000000000133,79,14.0,36.464
id_1,15.290000000000148,85,15.0,36.676
id_1,16.300000000000153,92,16.0,36.888
id_1,17.33000000000017,99,17.0,37.1
id_1,18.340000000000174,106,18.0,37.312
id_1,19.37000000000019,113,19.0,37.524
id_1,20.380000000000194,120,20.0,37.736
id_1,21.41000000000021,127,21.0,37.948
id_1,22.420000000000215,134,22.0,38.16
id_1,23.45000000000023,141,23.0,38.372
id_1,24.47000000000024,148,24.0,38.584
id_1,25.480000000000246,156,25.0,38.796
id_1,26.51000000000026,164,26.0,39.008
id_1,27.520000000000266,172,27.0,39.22
id_1,28.55000000000028,180,28.0,39.432
id_1,29.560000000000286,188,29.0,39.644
id_1,30.590000000000302,196,30.0,39.856
id_0,1.0100000000000051,1,1.0,10.176
id_0,2.0300000000000153,3,2.0,10.388
id_0,3.0500000000000256,5,3.0,10.6
id_0,4.070000000000036,7,4.0,10.812
id_0,5.090000000000046,9,5.0,11.024
id_0,6.110000000000056,15,6.0,34.556
id_0,7.1300000000000665,23,7.0,34.768
id_0,8.140000000000072,31,8.0,34.98
id_0,9.170000000000087,39,9.0,35.192
id_0,10.190000000000097,46,10.0,35.404
id_0,11.200000000000102,53,11.0,35.616
id_0,12.230000000000118,60,12.0,35.828
id_0,13.240000000000123,67,13.0,36.04
id_0,14.270000000000138,74,14.0,36.252
id_0,15.280000000000143,80,15.0,36.464
id_0,16.31000000000016,86,16.0,36.676
id_0,17.320000000000164,93,17.0,36.888
id_0,18.35000000000018,100,18.0,37.1
id_0,19.360000000000184,107,19.0,37.312
id_0,20.3900000000002,114,20.0,37.524
id_0,21.400000000000205,121,21.0,37.736
id_0,22.43000000000022,128,22.0,37.948
id_0,23.440000000000225,135,23.0,38.16
id_0,24.47000000000024,142,24.0,38.372
id_0,25.49000000000025,149,25.0,38.584
id_0,26.500000000000256,157,26.0,38.796
id_0,27.53000000000027,165,27.0,39.008
id_0,28.540000000000276,173,28.0,39.22
id_0,29.57000000000029,181,29.0,39.432
id_0,30.580000000000297,189,30.0,39.644
id_0,31.610000000000312,197,31.0,39.856
id_3,1.0100000000000051,16,1.0,34.556
id_3,2.0300000000000153,24,2.0,34.768
id_3,3.0400000000000205,32,3.0,34.98
id_3,4.070000000000036,40,4.0,35.192
id_3,5.090000000000046,47,5.0,35.404
id_3,6.100000000000051,54,6.0,35.616
id_3,7.1300000000000665,61,7.0,35.828
id_3,8.140000000000072,68,8.0,36.04
id_3,9.170000000000087,75,9.0,36.252
id_3,10.180000000000092,81,10.0,36.464
id_3,11.210000000000107,87,11.0,36.676
id_3,12.220000000000113,94,12.0,36.888
id_3,13.250000000000128,101,13.0,37.1
id_3,14.260000000000133,108,14.0,37.312
id_3,15.290000000000148,115,15.0,37.524
id_3,16.300000000000153,122,16.0,37.736
id_3,17.33000000000017,129,17.0,37.948
id_3,18.340000000000174,136,18.0,38.16
id_3,19.37000000000019,143,19.0,38.372
id_3,20.3900000000002,150,20.0,38.584
id_3,21.400000000000205,158,21.0,38.796
id_3,22.43000000000022,166,22.0,39.008
id_3,23.440000000000225,174,23.0,39.22
id_3,24.47000000000024,182,24.0,39.432
id_3,25.480000000000246,190,25.0,39.644
id_3,26.51000000000026,198,26.0,39.856
id_2,1.0100000000000051,17,1.0,34.556
id_2,2.0300000000000153,25,2.0,34.768
id_2,3.0400000000000205,33,3.0,34.98
id_2,4.070000000000036,41,4.0,35.192
id_2,5.090000000000046,48,5.0,35.404
id_2,6.100000000000051,55,6.0,35.616
id_2,7.1300000000000665,62,7.0,35.828
id_2,8.140000000000072,69,8.0,36.04
id_2,9.170000000000087,76,9.0,36.252
id_2,10.180000000000092,82,10.0,36.464
id_2,11.210000000000107,88,11.0,36.676
id_2,12.220000000000113,95,12.0,36.888
id_2,13.250000000000128,102,13.0,37.1
id_2,14.260000000000133,109,14.0,37.312
id_2,15.290000000000148,116,15.0,37.524
id_2,16.300000000000153,123,16.0,37.736
id_2,17.33000000000017,130,17.0,37.948
id_2,18.340000000000174,137,18.0,38.16
id_2,19.37000000000019,144,19.0,38.372
id_2,20.3900000000002,151,20.0,38.584
id_2,21.400000000000205,159,21.0,38.796
id_2,22.43000000000022,167,22.0,39.008
id_2,23.440000000000225,175,23.0,39.22
id_2,24.47000000000024,183,24.0,39.432
id_2,25.480000000000246,191,25.0,39.644
id_2,26.51000000000026,199,26.0,39.856
