App_Name,EndTime,"IoTDeviceBatteryConsumption",IoTDeviceDrained,SimulationTime,StartTime,TotalCloudLetSizes,TotalEdgeLetSizes,TotalIoTGeneratedData,TotalMELGeneratedData,appTotalRunningTime
App_135,64.80676,23.440000000000225,No,26.64676,38.16,200,250,1,70,26.64676
App_136,64.58981999999997,18.340000000000174,No,26.429819999999978,38.16,200,250,1,70,26.429819999999978
App_137,91.58656000000002,18.340000000000174,No,53.42656000000002,38.16,200,250,1,70,53.42656000000002
App_138,119.59245999999999,19.37000000000019,No,81.22045999999999,38.372,200,250,1,70,81.22045999999999
App_139,119.78722,19.37000000000019,No,81.41522,38.372,200,250,1,70,81.41522
App_140,119.13828999999997,17.33000000000017,No,80.76628999999997,38.372,200,250,1,70,80.76628999999997
App_141,91.31734000000003,23.45000000000023,No,52.94534000000003,38.372,200,250,1,70,52.94534000000003
App_142,89.46388000000002,24.47000000000024,No,51.09188000000002,38.372,200,250,1,70,51.09188000000002
App_143,120.32265999999997,19.37000000000019,No,81.95065999999997,38.372,200,250,1,70,81.95065999999997
App_144,90.18680000000008,19.37000000000019,No,51.814800000000076,38.372,200,250,1,70,51.814800000000076
App_145,119.30673999999998,21.41000000000021,No,80.72273999999997,38.584,200,250,1,70,80.72273999999997
App_146,118.59983000000003,21.41000000000021,No,80.01583000000002,38.584,200,250,1,70,80.01583000000002
App_147,118.72865999999996,19.37000000000019,No,80.14465999999996,38.584,200,250,1,70,80.14465999999996
App_148,89.83478000000005,25.49000000000025,No,51.25078000000005,38.584,200,250,1,70,51.25078000000005
App_149,90.63880000000007,26.51000000000026,No,52.05480000000007,38.584,200,250,1,70,52.05480000000007
App_150,119.21983000000002,21.41000000000021,No,80.63583000000001,38.584,200,250,1,70,80.63583000000001
App_151,91.44296000000003,21.41000000000021,No,52.858960000000025,38.584,200,250,1,70,52.858960000000025
App_152,118.88051999999999,21.400000000000205,No,80.08452,38.796,200,250,1,70,80.08452
App_153,118.77828999999997,21.400000000000205,No,79.98228999999998,38.796,200,250,1,70,79.98228999999998
App_154,118.77183000000002,5.090000000000046,No,79.97583000000003,38.796,200,250,1,70,79.97583000000003
App_155,119.29332000000002,19.360000000000184,No,80.49732000000003,38.796,200,250,1,70,80.49732000000003
App_156,89.87768000000004,25.480000000000246,No,51.08168000000004,38.796,200,250,1,70,51.08168000000004
App_157,91.68506000000004,26.500000000000256,No,52.889060000000036,38.796,200,250,1,70,52.889060000000036
App_158,118.08103999999996,21.400000000000205,No,79.28503999999995,38.796,200,250,1,70,79.28503999999995
App_159,91.04915000000003,21.400000000000205,No,52.253150000000026,38.796,200,250,1,70,52.253150000000026
App_160,119.21652,23.45000000000023,No,80.20852,39.008,200,250,1,70,80.20852
App_161,117.28822,23.45000000000023,No,78.28021999999999,39.008,200,250,1,70,78.28021999999999
App_162,118.97583000000002,7.1300000000000665,No,79.96783000000002,39.008,200,250,1,70,79.96783000000002
App_163,120.34983000000001,21.41000000000021,No,81.34183000000002,39.008,200,250,1,70,81.34183000000002
App_164,90.24726000000004,27.53000000000027,No,51.23926000000004,39.008,200,250,1,70,51.23926000000004
App_165,89.58226000000005,28.55000000000028,No,50.574260000000045,39.008,200,250,1,70,50.574260000000045
App_166,44.05787000000001,23.45000000000023,No,5.049870000000006,39.008,200,250,1,70,5.049870000000006
App_167,91.70696000000004,23.45000000000023,No,52.698960000000035,39.008,200,250,1,70,52.698960000000035
App_168,119.62783000000005,23.440000000000225,No,80.40783000000005,39.22,200,250,1,70,80.40783000000005
App_169,119.82983,23.440000000000225,No,80.60983,39.22,200,250,1,70,80.60983
App_170,119.22021999999998,7.120000000000061,No,80.00021999999998,39.22,200,250,1,70,80.00021999999998
