appID,appName,appStartTime,cloudDatacenterName,cloudDcId,dataRate,edgeDatacenterName,edgeDcId,endTime,"ioTDeviceBatteryConsumption",ioTDeviceBatteryStatus,ioTDeviceId,ioTDeviceName,ioTDeviceOutputSize,isIoTDeviceDied,melId,melname,meloutputSize,osmesisCloudletSize,osmesisEdgeletSize,startDataGenerationTime,stopDataGenerationTime,vmCloudId,vmName,workflowId
60,App_60,35.828,Cloud_1,4,1.0,,0,0.0,13.250000000000128,No,114,id_0,1,false,-1,@34,70,200,250,35.828,36.828,0,VM_1,1
61,App_61,35.828,Cloud_1,4,1.0,,0,0.0,8.150000000000077,No,115,id_3,1,false,-1,@34,70,200,250,35.828,36.828,0,VM_2,1
62,App_62,35.828,Cloud_1,4,1.0,,0,0.0,8.150000000000077,No,116,id_2,1,false,-1,@44,70,200,250,35.828,36.828,0,VM_3,1
63,App_63,36.04,Cloud_1,4,1.0,,0,0.0,8.140000000000072,No,109,id_5,1,false,-1,@9,70,200,250,36.04,37.04,0,VM_4,1
64,App_64,36.04,Cloud_1,4,1.0,,0,0.0,8.140000000000072,No,110,id_4,1,false,-1,@9,70,200,250,36.04,37.04,0,VM_5,1
65,App_65,36.04,Cloud_1,4,1.0,,0,0.0,8.140000000000072,No,112,id_6,1,false,-1,@9,70,200,250,36.04,37.04,0,VM_6,1
66,App_66,36.04,Cloud_1,4,1.0,,0,0.0,12.220000000000113,No,113,id_1,1,false,-1,@44,70,200,250,36.04,37.04,0,VM_7,1
67,App_67,36.04,Cloud_1,4,1.0,,0,0.0,13.240000000000123,No,114,id_0,1,false,-1,@34,70,200,250,36.04,37.04,0,VM_8,1
68,App_68,36.04,Cloud_1,4,1.0,,0,0.0,8.140000000000072,No,115,id_3,1,false,-1,@34,70,200,250,36.04,37.04,0,VM_9,1
69,App_69,36.04,Cloud_1,4,1.0,,0,0.0,8.140000000000072,No,116,id_2,1,false,-1,@44,70,200,250,36.04,37.04,0,VM_10,1
70,App_70,36.252,Cloud_1,4,1.0,,0,0.0,10.190000000000097,No,109,id_5,1,false,-1,@9,70,200,250,36.252,37.252,0,VM_1,1
71,App_71,36.252,Cloud_1,4,1.0,,0,0.0,10.190000000000097,No,110,id_4,1,false,-1,@9,70,200,250,36.252,37.252,0,VM_2,1
72,App_72,36.252,Cloud_1,4,1.0,,0,0.0,9.170000000000087,No,112,id_6,1,false,-1,@9,70,200,250,36.252,37.252,0,VM_3,1
73,App_73,36.252,Cloud_1,4,1.0,,0,0.0,14.270000000000138,No,113,id_1,1,false,-1,@44,70,200,250,36.252,37.252,0,VM_4,1
74,App_74,36.252,Cloud_1,4,1.0,,0,0.0,15.290000000000148,No,114,id_0,1,false,-1,@34,70,200,250,36.252,37.252,0,VM_5,1
75,App_75,36.252,Cloud_1,4,1.0,,0,0.0,10.190000000000097,No,115,id_3,1,false,-1,@34,70,200,250,36.252,37.252,0,VM_6,1
76,App_76,36.252,Cloud_1,4,1.0,,0,0.0,10.190000000000097,No,116,id_2,1,false,-1,@44,70,200,250,36.252,37.252,0,VM_7,1
77,App_77,36.464,Cloud_1,4,1.0,,0,0.0,10.180000000000092,No,109,id_5,1,false,-1,@9,70,200,250,36.464,37.464,0,VM_8,1
78,App_78,36.464,Cloud_1,4,1.0,,0,0.0,10.180000000000092,No,110,id_4,1,false,-1,@9,70,200,250,36.464,37.464,0,VM_9,1
79,App_79,36.464,Cloud_1,4,1.0,,0,0.0,14.260000000000133,No,113,id_1,1,false,-1,@44,70,200,250,36.464,37.464,0,VM_10,1
80,App_80,36.464,Cloud_1,4,1.0,,0,0.0,15.280000000000143,No,114,id_0,1,false,-1,@34,70,200,250,36.464,37.464,0,VM_1,1
81,App_81,36.464,Cloud_1,4,1.0,,0,0.0,10.180000000000092,No,115,id_3,1,false,-1,@34,70,200,250,36.464,37.464,0,VM_2,1
82,App_82,36.464,Cloud_1,4,1.0,,0,0.0,10.180000000000092,No,116,id_2,1,false,-1,@44,70,200,250,36.464,37.464,0,VM_3,1
83,App_83,36.676,Cloud_1,4,1.0,,0,0.0,12.230000000000118,No,109,id_5,1,false,-1,@9,70,200,250,36.676,37.676,0,VM_4,1
