APP_ID,AppName,CloudLetMISize,"CloudLetProcessingTimeByVM","DataSizeIoTDeviceToMEL_Mb",DataSizeMELToVM_Mb,DestinationVmName,EdgeLetMISize,"EdgeLetProcessingTimeByMEL",EdgeLet_MEL_FinishTime,EdgeLet_MEL_StartTime,FinishTime,IoTDeviceName,MELName,MelEndTransmissionTime,MelStartTransmissionTime,StartTime,Transaction,TransactionTotalTime,"TransmissionTimeIoTDeviceToMEL",TransmissionTimeMELToVM,flowIoTMelAppId,flowMELCloudAppId,path_dst,path_src,zEdgeToWANBW
36,App_36,200.0,0.7999999999999972,1,70,"VM_7 (Cloud_1)",250.0,24.351999999999997,59.756,35.404,109.55040000000001,id_7,"MEL_Edge_9.1 (Edge_9)",108.75040000000001,59.756,35.192,1,74.3584,0.2120000000000033,48.99440000000001,36,36,"Host#1@Cloud_1",9,1.4705882352941178
37,App_37,200.0,0.7999999999999972,1,70,"VM_8 (Cloud_1)",250.0,24.351999999999997,59.756,35.404,109.55040000000001,id_6,"MEL_Edge_9.1 (Edge_9)",108.75040000000001,59.756,35.192,1,74.3584,0.2120000000000033,48.99440000000001,37,37,"Host#2@Cloud_1",9,1.4492753623188406
38,App_38,200.0,0.7968499999999992,1,70,"VM_9 (Cloud_1)",250.0,12.852000000000004,48.25600000000001,35.404,51.520250000000004,id_1,"MEL_Edge_204c.14 (Edge_204c)",50.723400000000005,48.25600000000001,35.192,1,16.328250000000004,0.2120000000000033,2.467399999999998,38,38,"Host#3@Cloud_1",44,20.0
39,App_39,200.0,0.7999999999999972,1,70,"VM_10 (Cloud_1)",250.0,7.676000000000002,43.080000000000005,35.404,53.414970000000004,id_0,"MEL_Edge_34.35 (Edge_34)",52.61497000000001,43.080000000000005,35.192,1,18.222970000000004,0.2120000000000033,9.534970000000001,39,39,"Host#4@Cloud_1",34,3.5714285714285716
40,App_40,200.0,0.7999999999999972,1,70,"VM_1 (Cloud_1)",250.0,8.508000000000003,43.912000000000006,35.404,58.68979999999998,id_3,"MEL_Edge_34.31 (Edge_34)",57.88979999999998,43.912000000000006,35.192,1,23.497799999999977,0.2120000000000033,13.977799999999974,40,40,"Host#1@Cloud_1",34,3.8461538461538463
41,App_41,200.0,0.7999999999999972,1,70,"VM_2 (Cloud_1)",250.0,12.028000000000006,47.43200000000001,35.404,50.335179999999994,id_2,"MEL_Edge_204c.11 (Edge_204c)",49.53518,47.43200000000001,35.192,1,15.143179999999994,0.2120000000000033,2.1031799999999876,41,41,"Host#2@Cloud_1",44,25.0
42,App_42,200.0,0.7999999999999972,1,70,"VM_3 (Cloud_1)",250.0,23.58,59.196,35.616,107.37258000000001,id_5,"MEL_Edge_9.2 (Edge_9)",106.57258000000002,59.196,35.404,1,71.96858000000002,0.2119999999999962,47.37658000000002,42,42,"Host#3@Cloud_1",9,1.3888888888888888
43,App_43,200.0,0.7999999999999972,1,70,"VM_4 (Cloud_1)",250.0,23.58,59.196,35.616,107.37258000000001,id_4,"MEL_Edge_9.2 (Edge_9)",106.57258000000002,59.196,35.404,1,71.96858000000002,0.2119999999999962,47.37658000000002,43,43,"Host#4@Cloud_1",9,1.36986301369863
44,App_44,200.0,0.7999999999999972,1,70,"VM_5 (Cloud_1)",250.0,23.58,59.196,35.616,107.37258000000001,id_6,"MEL_Edge_9.2 (Edge_9)",106.57258000000002,59.196,35.404,1,71.96858000000002,0.2119999999999962,47.37658000000002,44,44,"Host#5@Cloud_1",9,1.408450704225352
45,App_45,200.0,0.7991499999999974,1,70,"VM_6 (Cloud_1)",250.0,12.987999999999985,48.603999999999985,35.616,52.0634,id_1,"MEL_Edge_204c.17 (Edge_204c)",51.264250000000004,48.603999999999985,35.404,1,16.659399999999998,0.2119999999999962,2.660250000000019,45,45,"Host#6@Cloud_1",44,20.0
46,App_46,200.0,0.7971799999999973,1,70,"VM_7 (Cloud_1)",250.0,8.931999999999988,44.54799999999999,35.616,61.73038,id_0,"MEL_Edge_34.31 (Edge_34)",60.9332,44.54799999999999,35.404,1,26.326379999999993,0.2119999999999962,16.38520000000001,46,46,"Host#1@Cloud_1",34,4.3478260869565215
47,App_47,200.0,0.7986299999999957,1,70,"VM_8 (Cloud_1)",250.0,8.076000000000008,43.69200000000001,35.616,57.544379999999975,id_3,"MEL_Edge_34.33 (Edge_34)",56.74574999999998,43.69200000000001,35.404,1,22.140379999999972,0.2119999999999962,13.053749999999972,47,47,"Host#2@Cloud_1",34,3.7037037037037037
48,App_48,200.0,0.7999999999999972,1,70,"VM_9 (Cloud_1)",250.0,13.911999999999999,49.528,35.616,54.237320000000004,id_2,"MEL_Edge_204c.14 (Edge_204c)",53.43732000000001,49.528,35.404,1,18.83332,0.2119999999999962,3.909320000000008,48,48,"Host#3@Cloud_1",44,8.333333333333334
49,App_49,200.0,0.7999999999999972,1,70,"VM_10 (Cloud_1)",250.0,22.327999999999996,58.156,35.828,102.31125000000002,id_5,"MEL_Edge_9.3 (Edge_9)",101.51125000000002,58.156,35.616,1,66.69525000000002,0.2120000000000033,43.35525000000002,49,49,"Host#4@Cloud_1",9,1.3513513513513513
