bandWidthShare,channelID,edgeName,melName,timeStamp
14.285714285714286,"channelID: 223",Edge_34,MEL_Edge_34.35,44.54799999999999
12.5,"channelID: 223",Edge_34,MEL_Edge_34.35,44.58399999999998
11.11111111111111,"channelID: 223",Edge_34,MEL_Edge_34.35,44.999999999999986
12.5,"channelID: 223",Edge_34,MEL_Edge_34.35,45.03476999999999
11.11111111111111,"channelID: 223",Edge_34,MEL_Edge_34.35,45.092000000000006
10.0,"channelID: 223",Edge_34,MEL_Edge_34.35,45.251999999999995
9.090909090909092,"channelID: 223",Edge_34,MEL_Edge_34.35,45.26799999999998
8.333333333333334,"channelID: 223",Edge_34,MEL_Edge_34.35,45.39599999999998
7.6923076923076925,"channelID: 223",Edge_34,MEL_Edge_34.35,45.51199999999999
7.142857142857143,"channelID: 223",Edge_34,MEL_Edge_34.35,45.59200000000001
6.666666666666667,"channelID: 223",Edge_34,MEL_Edge_34.35,45.611999999999995
6.25,"channelID: 223",Edge_34,MEL_Edge_34.35,45.639999999999986
5.882352941176471,"channelID: 223",Edge_34,MEL_Edge_34.35,45.695999999999984
5.555555555555555,"channelID: 223",Edge_34,MEL_Edge_34.35,45.72799999999998
5.2631578947368425,"channelID: 223",Edge_34,MEL_Edge_34.35,45.731999999999985
5.0,"channelID: 223",Edge_34,MEL_Edge_34.35,45.80999999999998
4.761904761904762,"channelID: 223",Edge_34,MEL_Edge_34.35,45.85599999999999
4.545454545454546,"channelID: 223",Edge_34,MEL_Edge_34.35,45.941999999999986
4.3478260869565215,"channelID: 223",Edge_34,MEL_Edge_34.35,46.124
4.166666666666667,"channelID: 223",Edge_34,MEL_Edge_34.35,46.27399999999999
4.0,"channelID: 223",Edge_34,MEL_Edge_34.35,46.376
3.8461538461538463,"channelID: 223",Edge_34,MEL_Edge_34.35,46.448
3.7037037037037037,"channelID: 223",Edge_34,MEL_Edge_34.35,46.48999999999999
3.5714285714285716,"channelID: 223",Edge_34,MEL_Edge_34.35,46.72599999999999
25.0,"channelID: 257",Edge_204c,MEL_Edge_204c.14,49.528
32.25806451612903,"channelID: 257",Edge_204c,MEL_Edge_204c.14,49.53518
25.0,"channelID: 257",Edge_204c,MEL_Edge_204c.14,49.872
20.0,"channelID: 257",Edge_204c,MEL_Edge_204c.14,49.976000000000006
25.0,"channelID: 257",Edge_204c,MEL_Edge_204c.14,50.723400000000005
20.0,"channelID: 257",Edge_204c,MEL_Edge_204c.14,50.88
25.0,"channelID: 257",Edge_204c,MEL_Edge_204c.14,51.264250000000004
20.0,"channelID: 257",Edge_204c,MEL_Edge_204c.14,51.335999999999984
16.666666666666668,"channelID: 257",Edge_204c,MEL_Edge_204c.14,51.67599999999999
14.285714285714286,"channelID: 257",Edge_204c,MEL_Edge_204c.14,52.016000000000005
12.5,"channelID: 257",Edge_204c,MEL_Edge_204c.14,52.232
11.11111111111111,"channelID: 257",Edge_204c,MEL_Edge_204c.14,52.352000000000004
10.0,"channelID: 257",Edge_204c,MEL_Edge_204c.14,52.764
9.090909090909092,"channelID: 257",Edge_204c,MEL_Edge_204c.14,53.071999999999996
8.333333333333334,"channelID: 257",Edge_204c,MEL_Edge_204c.14,53.412000000000006
25.0,"channelID: 258",Edge_204c,MEL_Edge_204c.17,49.872
20.0,"channelID: 258",Edge_204c,MEL_Edge_204c.17,49.976000000000006
25.0,"channelID: 258",Edge_204c,MEL_Edge_204c.17,50.723400000000005
20.0,"channelID: 258",Edge_204c,MEL_Edge_204c.17,50.88
25.0,"channelID: 258",Edge_204c,MEL_Edge_204c.17,51.264250000000004
